Client_id;Identificador Cuenta; Negocio - Valor ;Negocio - Valor OK;Negocio - Tasa de Interés;P.P.Tasa;Tasa Ponderada;Negocio - Plazo;Negocio - Plazo OK;P.P.Plazo;Negocio - Sempli Score;Negocio - Sempli Score OK;Negocio - Score Experian Enero/19;Cliente;Cliente valor;Negocio - Fecha de ganado;Negocio - Fecha de ganado;Mes;Q;Año ganado;Negocio - Producto (Destinación);Negocio - Producto (Destinación);Negocio - Producto (Destinación) OK;Negocio - Plan de Pagos;Organización - Sector;Organización - Sector OK;Sector - Ok;Organización - Canal de Captura;Organización - Canal de Captura OK;Organización - Tipo de Empresa;Organización - Número de empleados;Organización - Número de empleados Mujeres;Organización - Número de empleados Mujeres con cargo directivo;Organización - Número de empleados OK;Organización - Año de Constitución;Organización - Año de Constitución OK;Organización - CIIU;Clase;División;División;Actividad eco  SEMPLI;Organización - Ciudad;Organización - Ciudad;Persona - Cargo;Organización - Estrato;Organización - Acceso a la banca;Negocio - Mujeres Empresarias;Oportunidad/Inclusión;ESG;Empresa - Tratos ganados;Trato - ID;Estado;Negocio - Seguro de Vida;Negocio - Tipo de Garantía;Empresa - Edad Empresarios;Empresa - Edad Empresarios OK;COVID19;Negocio - Subpoblación;Negocio - Score bureau;Negocio - Huella de consulta;Negocio - Alertas;Negocio - Procesos Judiciales;Máx Marzo17;Máx Abril17;Máx Mayo17;Máx Junio17;Máx Julio17;Máx Agos17;Máx Sept17;Máx Oct17;Máx Nov17;Máx Dic17;Máx Enero18;Máx Feb18;Máx Marzo18;Máx Abril18;Máx Mayo18;Máx Junio18;Máx Julio18;Máx Agos18;Máx Sept18;Máx Oct18;Máx Nov18;Máx Dic18;Máx Ene19;Máx Feb19;Máx Mar19;Máx Abr19;Máx May19;Máx Jun19;Máx Jul19;Máx Ago19;Máx Sep19;Máx Oct19;Máx Nov19;Máx Dic19;Máx Ene20;Máx Feb20;Máx Mar20;Máx Abr20;Máx May20;Máx Jun20;Máx JuL20;Máx Ago20;Máx Sep20;Máx Oct20;Máx Nov20;Máx Dic20;Máx Ene21;Máx Feb21;Máx Mar21;Máx Abr21;Máx May21;Máx Jun21;Máx Jul21;Máx Ago21;Máx Sep21;Máx Oct21;Máx Nov21;Máx Dic21;Máx Ene22;Máx Feb22;Máx Mar22;Máx Abr22;Máx May22;Máx Jun22;Máx Jul22;Máx Ago22;MAX ;Deterioro Cartera;Comportamiento;Mes >=30;Valor mora;icv;icv30;31/12/17;31/12/18;31/12/19;31/12/20;TU;PREPAGOS;CUOTAS;;;;;;;;;;;;;;;;;;;;;;;;;;
345838;1005; 30.000.000 ;0 a 100;1,52;45600000;;3;0 a 12;90000000;644;581 a 669;368;Nuevo;0;2017-04-24 09:27:14;2017-04-24;2017-04;2017-Q2;2017;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Bullet Tasa Fija;Servicios;Servicios;Servicios;Referido;Partnerships;Scale Up;13;7;1;11 a 50;2010;2010-2013;7110;Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica;71;"Actividades de arquitectura e ingeniería; ensayos y análisis técnicos";Architecture, Design, Engineering;Medellín;Medellín AM;Gerente;4;Si;No;No;No aplica;;;Pagado;;Pagaré;35;35-44;No;Sin info;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;0;Bueno;Siempre al día;Máx May19;0;;0;8;20;32;44;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
391861;1012; 30.000.000 ;0 a 100;1,75;52500000;;18;13 a 24;540000000;686;670 en adelante;282;Nuevo;0;2017-04-24 00:00:00;2017-04-24;2017-04;2017-Q2;2017;SP - Pago de impuestos;SP;SP;Mensual Tasa Fija;Industria;Industria;Industria;Comercial;Directo;Seed;10;5;1;1 a 10;2010;2010-2013;1410;Confección de prendas de vestir, excepto prendas de piel;14;Confección de prendas de vestir;Manufacturing;Medellín;Medellín AM;Gerente;4;Si;No;No;No aplica;;;Pagado;;Pagaré;36;35-44;No;;;;;;;;;1;2;4;3;7;32;29;28;24;28;29;27;;;;;;;;;;;; ; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;32;Atrasado;Ha entrado en PAR30;Máx Nov17;1;;0;8;20;32;44;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
281462;1013; 30.000.000 ;0 a 100;1,54;46200000;;24;13 a 24;720000000;740;670 en adelante;866;Nuevo;0;2017-04-27 14:48:13;2017-04-27;2017-04;2017-Q2;2017;KT - EX Activaciones comerciales;KT - EX;Growth;Mensual Tasa Fija;Tecnologías;Servicios;Servicios;Referido;Partnerships;Venture;5;4;2;1 a 10;2009;2006-2009;6209;Otras actividades de tecnologías de información y actividades de servicios informáticos;62;Desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas), consultoría informática y actividades relacionadas;Software and Communications;Medellín;Medellín AM;Gerente;5;Si;No;No;No aplica;;;Pagado;;Pagaré;41;35-44;No;Sin info;;;;;;;;;;;;4;;;;;;3;3;;;;;;;;;;;; ; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;4;Bueno;Máxima altura entre 1 y 10;Máx May19;0;;0;8;20;32;44;#N/D;P;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
490170;1014; 70.000.000 ;0 a 100;1,65;115500000;;18;13 a 24;1260000000;704;670 en adelante;816;Renovación;1;2017-05-09 15:46:52;2017-05-09;2017-05;2017-Q2;2017;SP - Pago de impuestos;SP;SP;Mensual Tasa Fija;Tecnologías;Servicios;Servicios;Referido;Partnerships;Scale Up;20;18;7;11 a 50;2012;2010-2013;7310;Publicidad;73;Publicidad y estudios de mercado;Business Consulting;Medellín;Medellín AM;Director;6;Si;No;No;No aplica;;;Pagado;;Pagaré;37;35-44;No;;;;;;;;;;;;;;21;20;22;19;22;21;22;;;;;;;;;;;; ; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;22;Atrasado;Máxima altura entre 21 y 30;Máx May19;0;;0;7;19;31;43;#N/D;P;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
126415;1015; 200.000.000 ;101 a 200;1,37;274000000;;24;13 a 24;4800000000;738;670 en adelante;851;Nuevo;0;2017-05-10 15:32:13;2017-05-10;2017-05;2017-Q2;2017;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Servicios;Servicios;Comercio;Base;Directo;Growth;105;;0;51 a 200;2006;2006-2009;4610;Comercio al por mayor a cambio de una retribución o por contrata;46;Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas;Commerce, Mechants, Retail;Medellín;Medellín AM;Gerente;4;Si;No;No;No aplica;;;Pagado;;Pagaré;38;35-44;No;;;;;;;;;;;21;19;21;20;20;21;16;19;20;21;;;;;;;;;;;; ; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;21;Atrasado;Máxima altura entre 21 y 30;Máx May19;0;;0;7;19;31;43;#N/D;P;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
424464;1016; 100.000.000 ;0 a 100;1,53;153000000;;12;0 a 12;1200000000;775;670 en adelante;518;Renovación;1;2017-05-17 15:46:01;2017-05-17;2017-05;2017-Q2;2017;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Servicios;Servicios;Servicios;Comercial;Directo;Venture;25;5;1;11 a 50;2011;2010-2013;7110;Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica;71;"Actividades de arquitectura e ingeniería; ensayos y análisis técnicos";Architecture, Design, Engineering;Medellín;Medellín AM;Gerente;6;Si;No;No;No aplica;;;Pagado;;Pagaré;60;Mayor de 45;No;;;;;;;;;1;1;;;;13;13;14;9;11;13;14;;;;;;;;;;;; ; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;14;Bueno;Máxima altura entre 11 y 20;Máx May19;0;;0;7;19;31;43;#N/D;P;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
674840;1017; 150.000.000 ;101 a 200;1,58;237000000;;36;25 a 36;5400000000;671;670 en adelante;647;Nuevo;0;2017-05-26 12:24:46;2017-05-26;2017-05;2017-Q2;2017;KT - CO Pago de nómina;KT - CO;KT - CO;Mensual Tasa Fija;Servicios;Servicios;Servicios;Plataforma;Digital;Growth;25;10;1;11 a 50;2017;2014-2017;5229;Otras actividades complementarias al transporte;52;Almacenamiento y actividades complementarias al transporte;Transport, Logistics;Bogotá D.C.;Bogotá AM;Gerente;5;Si;No;No;No aplica;;;COVID19;;Pagaré;31;25 - 34;No;;;;;;;;;;;;1;;;;;;;;;;;;;;;1; ;0;;0;0;0;0;0;0;0;0;0;0;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;5;Bueno;Máxima altura entre 1 y 10;Máx Ene19;0;;0;7;19;31;43;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
443738;1018; 70.000.000 ;0 a 100;1,5;105000000;;36;25 a 36;2520000000;768;670 en adelante;320;Renovación;1;2017-06-05 16:16:43;2017-06-05;2017-06;2017-Q2;2017;SP - Pago de impuestos;SP;SP;Mensual Tasa Fija;Industria;Industria;Industria;Referido;Partnerships;Venture;37;30;7;11 a 50;2011;2010-2013;1081;Elaboración de productos de panadería;10;Elaboración de productos alimenticios;Manufacturing;Medellín;Medellín AM;Gerente;4;Si;No;No;No aplica;;;Castigo;;Cesión Permanente de Créditos y Derechos Económicos;31;25 - 34;No;;;;;;;;;;;;;;9;6;;2;;;;8;;;;3;16;;23;23;;56;57;55;56;57;87;87;87;85;87;116;84;114;145;175;148;179;177;208;238;269;300;328;359;389;420;450;;;;;;;;;;;;; ;;450;Atrasado;Ha entrado en PAR30;Máx Abr19;1;7032838,02;7032838,02;6;18;30;42;WRITTEN_OFF;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
467844;1144; 100.000.000 ;0 a 100;1,62;162000000;;24;13 a 24;2400000000;734;670 en adelante;740;Nuevo;0;2017-06-05 18:09:44;2017-06-05;2017-06;2017-Q2;2017;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Industria;Industria;Comercio;Plataforma;Digital;Venture;10;6;2;1 a 10;2011;2010-2013;4711;Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco;47;Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas;Commerce, Mechants, Retail;Itagüí;Medellín AM;Socio;5;Si;No;No;No aplica;;;Pagado;;Endoso de Factura;53;Mayor de 45;No;;;;;;;;;;2;;;6;15;10;26;16;18;19;24;;;1;4;14;13;3;15;13;;15;17;11;16;0;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;26;Atrasado;Máxima altura entre 21 y 30;Máx Nov19;0;;0;6;18;30;42;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
440111;1020; 100.000.000 ;0 a 100;1,3;130000000;;18;13 a 24;1800000000;739;670 en adelante;619;Renovación;1;2017-06-08 15:36:36;2017-06-08;2017-06;2017-Q2;2017;KT - EX Activaciones comerciales;KT - EX;Growth;Mensual Tasa Fija;Industria;Industria;Comercio;Referido;Partnerships;Growth;15;3;1;11 a 50;2011;2010-2013;4631;Comercio al por mayor de productos alimenticios;46;Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas;Commerce, Mechants, Retail;La Estrella;Medellín AM;Gerente;3;Si;No;No;No aplica;;;Pagado;;Prenda Inventarios;47;Mayor de 45;No;;;;;;;;;;;1;;;1;8;;4;4;1;9;4;7;15;4;;8;4;;;;; ; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;15;Bueno;Máxima altura entre 11 y 20;Máx May19;0;;0;6;18;30;42;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
241946;1030; 40.000.000 ;0 a 100;1,7;68000000;;3;0 a 12;120000000;670;670 en adelante;864;Nuevo;0;2017-06-09 15:11:46;2017-06-09;2017-06;2017-Q2;2017;KT - CO Pago proveedores;KT - CO;KT - CO;Pago Único al Vencimiento;Industria;Industria;Servicios;Base;Directo;Scale Up;35;18;0;11 a 50;2008;2006-2009;6810;Actividades inmobiliarias realizadas con bienes propios o arrendados;68;Actividades inmobiliarias;Construction activities;Medellín;Medellín AM;Director;3;Si;No;No;Social;;;Pagado;;Pagaré;38;35-44;No;Sin info;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;0;Bueno;Siempre al día;Máx May19;0;;0;6;18;30;42;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
619506;1326; 150.000.000 ;101 a 200;1,58;237000000;;36;25 a 36;5400000000;726;670 en adelante;;Nuevo;0;2017-06-14 10:26:45;2017-06-14;2017-06;2017-Q2;2017;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Diferido Tasa Fija;Servicios;Servicios;Servicios;Referido;Partnerships;Seed;27;14;1;11 a 50;2013;2010-2013;5612;Expendio por autoservicio de comidas preparadas;56;Actividades de servicios de comidas y bebidas;Tourism, Hotels and Restaurants;Medellín;Medellín AM;Gerente;4;Si;No;No;Social;;;Subrogacion;;Pagaré;34;25 - 34;No;Sin info;;;;;;;;;2;5;16;14;16;17;16;14;17;21;29;31;42;41;6;36;;; ;3;;3;10;14;0;0;0;0;0;0;0;0;0;0;25;0;0;25;0;25;;;;;;;;;;;;;;;;;;;;; ;;42;Atrasado;Ha entrado en PAR30;Máx Junio18;1;38862233,95;0;6;18;30;42;#N/D;A;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
003420;1023; 90.000.000 ;0 a 100;1,45;130500000;;24;13 a 24;2160000000;761;670 en adelante;799;Renovación;1;2017-06-15 22:33:36;2017-06-15;2017-06;2017-Q2;2017;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Industria;Industria;Industria;Referido;Partnerships;Seed;35;0;0;11 a 50;2000;0 a 2005;2930;Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores;29;Fabricación de vehículos automotores, remolques y semirremolques;Manufacturing;Medellín;Medellín AM;Director;4;No;No;No;No aplica;;;Pagado;;Pagaré;42;35-44;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;0;Bueno;Siempre al día;Máx May19;0;;0;6;18;30;42;#N/D;P;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
375242;1024; 85.000.000 ;0 a 100;1,54;130900000;;24;13 a 24;2040000000;740;670 en adelante;835;Nuevo;0;2017-06-23 09:25:02;2017-06-23;2017-06;2017-Q2;2017;KT - EX Nuevos negocios;KT - EX;Growth;Mensual Tasa Fija;Tecnologías;Servicios;Industria;Plataforma;Digital;Venture;24;13;0;11 a 50;2010;2010-2013;5819;Otros trabajos de edición;58;Actividades de edición;Manufacturing;Bogotá D.C.;Bogotá AM;Director;6;Si;No;No;No aplica;;;Pagado;;Pagaré;43;35-44;No;;;;;;;;;;;;;;;;;4;;;;;;;;1;;; ;0;;0;0; ;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;4;Bueno;Máxima altura entre 1 y 10;Máx Ene19;0;;0;6;18;30;42;#N/D;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;;;;
