Client_id; Valor ;Valor OK;Tasa de Interés;P.P.Tasa;Plazo;Plazo OK;Sempli Score;Cliente;Mes;Año ganado;Producto (Destinación) OK;Canal de Captura OK;Tipo de Empresa;Número de empleados;Número de empleados Mujeres;Año de Constitución;Actividad eco  SEMPLI;Ciudad;Ciudad agrupada;Estrato;Acceso a la banca;Mujeres Empresarias;Estado;Tipo de Garantía;Edad Empresarios;variable predictora
785;30.000.000;0 a 100;1,5;45000000;24;13 a 24;818;Nuevo;2017-10;2017;Growth;Posicionamiento;Seed;8;4;2006;Education, Culture, Entertainament;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;38;0
67844;100.000.000;0 a 100;1,62;162000000;36;25 a 36;726;Renovación;2017-10;2017;Growth;Digital;Venture;10;6;2011;Commerce, Mechants, Retail;Itagüí;Medellín AM;5;Si;No;Pagado;Otros;53;1
22767;50.000.000;0 a 100;1,61;80500000;12;0 a 12;693;Nuevo;2017-10;2017;Growth;Posicionamiento;Seed;28;16;2014;Manufacturing;La Estrella;Medellín AM;4;Si;No;Pagado;Pagaré;36;0
50867;140.000.000;101 a 200;1,65;231000000;12;0 a 12;581;Nuevo;2017-11;2017;Growth;Digital;Scale Up;33;16;2015;Transport, Logistics;Bogotá D.C.;Bogotá AM;6;Si;No;Pagado;Otros;35;0
70871;50.000.000;0 a 100;1,41;70500000;48;37 en adelante;850;Nuevo;2017-11;2017;Growth;Partnerships;Venture;11;6;2011;Business Consulting;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;38;0
9279;1.205.301.064;401 en adelante;1,3;1566891383;24;13 a 24;684;Nuevo;2017-11;2017;Growth;Directo;Scale Up;72;12;2000;Manufacturing;Envigado;Medellín AM;5;Si;No;Pagado;Otros;38;0
67818;90.000.000;0 a 100;1,4;126000000;12;0 a 12;685;Nuevo;2017-11;2017;KT - CO;Posicionamiento;Venture;30;4;2015;Construction activities;Medellín;Medellín AM;4;No;No;Pagado;Pagaré;40;0
94552;50.000.000;0 a 100;1,54;77000000;24;13 a 24;800;Nuevo;2017-12;2017;SP;Digital;Seed;14;0;2008;Tourism, Hotels and Restaurants;Envigado;Medellín AM;6;Si;No;Pagado;Pagaré;46;0
70871;50.000.000;0 a 100;1,41;70500000;60;37 en adelante;850;Renovación;2017-12;2017;Growth;Partnerships;Venture;11;6;2011;Business Consulting;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;38;0
45347;47.902.428;0 a 100;1,82;87182418,96;36;25 a 36;774;Nuevo;2017-12;2017;SP;Partnerships;Seed;10;2;2011;Software and Communications;Medellín;Medellín AM;4;Si;No;Pagado;Pagaré;43;0
40111;150.000.000;101 a 200;1,5;225000000;24;13 a 24;670;Renovación;2017-12;2017;Growth;Partnerships;Growth;15;3;2011;Commerce, Mechants, Retail;La Estrella;Medellín AM;3;Si;No;Castigo;Prenda Maquinaria, Inventarios o Equipos;47;1
9279;42.058.900;0 a 100;1,3;54676570;24;13 a 24;670;Renovación;2017-12;2017;Growth;Directo;Scale Up;72;12;2000;Manufacturing;Envigado;Medellín AM;5;Si;No;Pagado;Otros;38;0
7858;40.000.000;0 a 100;1,5;60000000;36;25 a 36;775;Nuevo;2018-01;2018;Growth;Partnerships;Seed;10;7;2015;Business Consulting;Medellín;Medellín AM;4;Si;No;Pagado;Pagaré;44;0
7858;40.000.000;0 a 100;1,5;60000000;36;25 a 36;775;Renovación;2018-01;2018;Growth;Partnerships;Seed;10;7;2015;Business Consulting;Medellín;Medellín AM;4;Si;No;Pagado;Pagaré;44;0
35394;110.000.000;101 a 200;1,58;173800000;60;37 en adelante;842;Nuevo;2018-01;2018;Growth;Partnerships;Seed;20;20;2014;Commerce, Mechants, Retail;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;41;0
28852;429.252.580;401 en adelante;1,45;622416241;24;13 a 24;581;Nuevo;2018-01;2018;KT - CO;Posicionamiento;Venture;22;3;2016;Services to businesses;Envigado;Medellín AM;5;Si;No;Pagado;Otros;24;0
50867;160.000.000;101 a 200;1,65;264000000;12;0 a 12;581;Renovación;2018-01;2018;Growth;Digital;Scale Up;33;16;2015;Transport, Logistics;Bogotá D.C.;Bogotá AM;6;Si;No;Pagado;Otros;35;0
18599;300.000.000;201 a 300;1,5;450000000;6;0 a 12;581;Nuevo;2018-02;2018;Growth;Posicionamiento;Growth;10;4;2012;Commerce, Mechants, Retail;Medellín;Medellín AM;4;Si;No;Pagado;Pagaré;51;0
84375;30.500.000;0 a 100;1,75;53375000;12;0 a 12;686;Nuevo;2018-02;2018;SP;Digital;Seed;9;1;2010;Software and Communications;Medellín;Medellín AM;5;Si;No;Pagado;Pagaré;35;0
42239;40.000.000;0 a 100;1,82;72800000;24;13 a 24;726;Nuevo;2018-02;2018;SP;Directo;Seed;5;1;2015;Commerce, Mechants, Retail;Medellín;Medellín AM;4;Si;No;Pagado;Pagaré;44;1
12204;61.491.000;0 a 100;1,5;92236500;12;0 a 12;789;Nuevo;2018-02;2018;SP;Directo;Seed;5;5;2008;Architecture, Design, Engineering;Medellín;Medellín AM;4;No;No;Pagado;Pagaré;49;1
43738;30.000.000;0 a 100;1,5;45000000;12;0 a 12;693;Renovación;2018-02;2018;KT - CO;Partnerships;Venture;37;30;2011;Manufacturing;Medellín;Medellín AM;4;Si;No;Pagado;Otros;31;1
785;50.000.000;0 a 100;1,5;75000000;12;0 a 12;818;Renovación;2018-02;2018;Growth;Posicionamiento;Seed;8;4;2006;Education, Culture, Entertainament;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;38;0
40111;100.000.000;0 a 100;1,5;150000000;18;13 a 24;610;Renovación;2018-02;2018;Growth;Partnerships;Growth;15;3;2011;Commerce, Mechants, Retail;La Estrella;Medellín AM;3;Si;No;Pagado;Prenda Maquinaria, Inventarios o Equipos;47;0
37367;30.000.000;0 a 100;1,75;52500000;24;13 a 24;670;Nuevo;2018-02;2018;SP;Digital;Venture;11;4;2010;Manufacturing;Medellín;Medellín AM;5;Si;No;Pagado;Pagaré;40;0
84956;419.618.705;401 en adelante;1,45;608447122,3;12;0 a 12;701;Nuevo;2018-02;2018;Growth;Posicionamiento;Scale Up;15;7;2013;Education, Culture, Entertainament;Bogotá D.C.;Bogotá AM;4;No;No;Pagado;Otros;33;0
37652;30.000.000;0 a 100;1,65;49500000;36;25 a 36;702;Renovación;2018-03;2018;Growth;Directo;Seed;25;17;2014;Manufacturing;Medellín;Medellín AM;6;No;No;Pagado;Prenda Maquinaria, Inventarios o Equipos;30;1
17916;50.000.000;0 a 100;1,75;87500000;12;0 a 12;581;Nuevo;2018-03;2018;KT - CO;Digital;Venture;6;2;2016;Commerce, Mechants, Retail;Bogotá D.C.;Bogotá AM;4;Si;No;Pagado;Pagaré;32;0
74840;30.000.000;0 a 100;1,58;47400000;24;13 a 24;702;Renovación;2018-03;2018;Growth;Digital;Growth;25;10;2017;Transport, Logistics;Bogotá D.C.;Bogotá AM;5;Si;No;Pagado;Pagaré;31;0
15223;150.000.000;101 a 200;1,44;216000000;24;13 a 24;670;Nuevo;2018-03;2018;Growth;Directo;Scale Up;42;38;2008;Education, Culture, Entertainament;Medellín;Medellín AM;4;Si;No;Pagado;Pagaré;40;0
50867;45.000.000;0 a 100;1,65;74250000;12;0 a 12;581;Renovación;2018-03;2018;KT - CO;Digital;Scale Up;33;16;2015;Transport, Logistics;Bogotá D.C.;Bogotá AM;6;Si;No;Pagado;Otros;35;0
40111;100.000.000;0 a 100;1,5;150000000;18;13 a 24;610;Renovación;2018-03;2018;KT - CO;Partnerships;Growth;15;3;2011;Commerce, Mechants, Retail;La Estrella;Medellín AM;3;Si;No;Pagado;Prenda Maquinaria, Inventarios o Equipos;47;1
60329;200.000.000;101 a 200;1,3;260000000;18;13 a 24;670;Nuevo;2018-03;2018;KT - CO;Directo;Growth;72;29;2005;Commerce, Mechants, Retail;Sabaneta;Medellín AM;5;Si;No;Pagado;Pagaré;62;1
6464;200.000.000;101 a 200;1,45;290000000;12;0 a 12;694;Nuevo;2018-03;2018;KT - CO;Directo;Venture;4;2;2011;Architecture, Design, Engineering;Sabaneta;Medellín AM;5;Si;No;Pagado;Pagaré;32;0
199;120.000.000;101 a 200;1,58;189600000;18;13 a 24;789;Nuevo;2018-03;2018;KT - CO;Directo;Seed;8;3;2016;Commerce, Mechants, Retail;Envigado;Medellín AM;4;Si;No;Pagado;Pagaré;30;0
94060;100.000.000;0 a 100;1,45;145000000;36;25 a 36;739;Renovación;2018-03;2018;SP;Directo;Venture;22;9;2011;Commerce, Mechants, Retail;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;33;0
29286;20.000.000;0 a 100;1,52;30400000;3;0 a 12;754;Renovación;2018-03;2018;Growth;Directo;Venture;10;3;2012;Software and Communications;Medellín;Medellín AM;4;Si;No;Pagado;Pagaré;32;0
12653;50.606.989;0 a 100;1,66;84007601,74;24;13 a 24;775;Nuevo;2018-03;2018;KT - CO;Directo;Seed;7;3;2016;Commerce, Mechants, Retail;Envigado;Medellín AM;4;No;No;Pagado;Pagaré;52;0
4614;30.000.000;0 a 100;1,63;48900000;24;13 a 24;749;Nuevo;2018-03;2018;Growth;Directo;Venture;4;3;2016;Education, Culture, Entertainament;Medellín;Medellín AM;5;No;No;Pagado;Pagaré;37;0
20289;100.000.000;0 a 100;1,37;137000000;12;0 a 12;691;Renovación;2018-04;2018;KT - CO;Directo;Scale Up;80;5;2009;Construction activities;Itagüí;Medellín AM;3;Si;No;Pagado;Pagaré;39;1
20289;200.000.000;101 a 200;1,47;294000000;48;37 en adelante;691;Nuevo;2018-04;2018;Growth;Directo;Scale Up;80;5;2009;Construction activities;Itagüí;Medellín AM;3;Si;No;Castigo;Prenda Maquinaria, Inventarios o Equipos;39;1
53788;30.000.000;0 a 100;1,79;53700000;36;25 a 36;581;Nuevo;2018-04;2018;SP;Directo;Venture;8;5;2011;Manufacturing;Itagüí;Medellín AM;4;Si;No;Pagado;Pagaré;35;0
22506;150.000.000;101 a 200;1,5;225000000;12;0 a 12;671;Nuevo;2018-04;2018;Growth;Digital;Scale Up;32;19;2013;Tourism, Hotels and Restaurants;Bogotá D.C.;Bogotá AM;5;Si;No;Pagado;Pagaré;37;0
8300;100.000.000;0 a 100;1,58;158000000;18;13 a 24;678;Nuevo;2018-04;2018;KT - CO;Directo;Scale Up;20;4;2012;Commerce, Mechants, Retail;Medellín;Medellín AM;4;Si;No;Pagado;Pagaré;39;0
24895;50.000.000;0 a 100;1,65;82500000;12;0 a 12;686;Nuevo;2018-04;2018;KT - CO;Digital;Venture;6;2;2014;Commerce, Mechants, Retail;Bogotá D.C.;Bogotá AM;3;Si;No;Pagado;Pagaré;55;0
9439;112.324.911;101 a 200;1,5;168487366,5;12;0 a 12;686;Nuevo;2018-04;2018;Growth;Posicionamiento;Seed;4;3;2015;Education, Culture, Entertainament;Bogotá D.C.;Bogotá AM;6;Si;No;Pagado;Otros;41;0
5311;60.000.000;0 a 100;1,51;90600000;36;25 a 36;754;Nuevo;2018-04;2018;Growth;Partnerships;Seed;3;3;2016;Commerce, Mechants, Retail;Medellín;Medellín AM;6;No;No;Pagado;Pagaré;31;0
40449;100.000.000;0 a 100;1,52;152000000;24;13 a 24;782;Nuevo;2018-05;2018;Growth;Digital;Seed;20;20;2016;Tourism, Hotels and Restaurants;La Ceja;Otros;4;No;No;Castigo;Pagaré;45;1
28177;50.000.000;0 a 100;1,57;78500000;12;0 a 12;717;Nuevo;2018-05;2018;KT - CO;Directo;Seed;3;0;2013;Commerce, Mechants, Retail;Medellín;Medellín AM;5;No;No;Pagado;Pagaré;50;0
45486;50.000.000;0 a 100;1,66;83000000;24;13 a 24;726;Nuevo;2018-05;2018;Growth;Directo;Seed;2;2;2016;Software and Communications;Medellín;Medellín AM;3;No;No;Pagado;Pagaré;31;0
29575;150.000.000;101 a 200;1,54;231000000;18;13 a 24;717;Nuevo;2018-05;2018;KT - CO;Digital;Growth;35;25;2015;Commerce, Mechants, Retail;Medellín;Medellín AM;3;Si;No;Pagado;Pagaré;51;0
3420;330.000.000;301 a 400;1,45;478500000;24;13 a 24;835;Renovación;2018-05;2018;SP;Partnerships;Seed;35;0;2000;Manufacturing;Medellín;Medellín AM;4;No;No;Pagado;Pagaré;42;0
84956;111.493.865;101 a 200;1,5;167240797,5;12;0 a 12;701;Renovación;2018-05;2018;Growth;Posicionamiento;Scale Up;15;7;2013;Education, Culture, Entertainament;Bogotá D.C.;Bogotá AM;4;No;No;Pagado;Otros;33;0
81969;49.500.000;0 a 100;1,3;64350000;5;0 a 12;739;Renovación;2018-05;2018;Growth;Partnerships;Scale Up;23;4;2007;Commerce, Mechants, Retail;Itagüí;Medellín AM;5;Si;No;Pagado;Pagaré;38;0
74412;70.000.000;0 a 100;1,57;109900000;24;13 a 24;698;Nuevo;2018-05;2018;SP;Partnerships;Seed;32;22;2017;Manufacturing;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;45;0
94060;200.000.000;101 a 200;1,45;290000000;36;25 a 36;739;Renovación;2018-05;2018;KT - CO;Directo;Venture;22;9;2011;Commerce, Mechants, Retail;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;33;0
24285;300.000.000;201 a 300;1,3;390000000;48;37 en adelante;746;Nuevo;2018-05;2018;SP;Directo;Venture;7;3;2000;Commerce, Mechants, Retail;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;46;0
45434;60.000.000;0 a 100;1,63;97800000;9;0 a 12;677;Nuevo;2018-05;2018;KT - CO;Partnerships;Seed;18;3;2004;Commerce, Mechants, Retail;Medellín;Medellín AM;5;Si;No;Pagado;Pagaré;43;0
75117;40.000.000;0 a 100;1,44;57600000;24;13 a 24;780;Renovación;2018-05;2018;Growth;Directo;Seed;12;8;2010;Business Consulting;Bogotá D.C.;Bogotá AM;5;Si;Si;Pagado;Pagaré;38;0
81969;350.000.000;301 a 400;1,3;455000000;7;0 a 12;739;Renovación;2018-05;2018;KT - CO;Partnerships;Scale Up;23;4;2007;Commerce, Mechants, Retail;Itagüí;Medellín AM;5;Si;No;Pagado;Pagaré;38;0
41478;30.000.000;0 a 100;1,6;48000000;12;0 a 12;694;Nuevo;2018-05;2018;KT - CO;Partnerships;Seed;13;7;2007;Architecture, Design, Engineering;Medellín;Medellín AM;5;Si;No;Pagado;Pagaré;44;1
56261;100.000.000;0 a 100;1,55;155000000;24;13 a 24;699;Nuevo;2018-06;2018;Growth;Directo;Venture;20;6;2013;Services to businesses;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;43;0
91342;50.000.000;0 a 100;1,65;82500000;24;13 a 24;740;Nuevo;2018-06;2018;KT - CO;Digital;Seed;5;1;2014;Architecture, Design, Engineering;Bogotá D.C.;Bogotá AM;5;No;No;Pagado;Pagaré;27;0
29107;100.000.000;0 a 100;1,53;153000000;18;13 a 24;718;Nuevo;2018-06;2018;Growth;Directo;Venture;15;6;2007;Architecture, Design, Engineering;Medellín;Medellín AM;6;Si;No;Pagado;Pagaré;43;0
37868;130.000.000;101 a 200;1,35;175500000;12;0 a 12;717;Nuevo;2018-06;2018;SP;Partnerships;Growth;120;45;2004;Software and Communications;Bogotá D.C.;Bogotá AM;4;Si;No;Pagado;Pagaré;59;0
5311;70.000.000;0 a 100;1,51;105700000;36;25 a 36;754;Renovación;2018-06;2018;KT - CO;Partnerships;Seed;3;3;2016;Commerce, Mechants, Retail;Medellín;Medellín AM;6;No;No;Pagado;Pagaré;31;0
8762;60.000.000;0 a 100;1,55;93000000;18;13 a 24;694;Nuevo;2018-06;2018;Growth;Digital;Seed;21;10;2011;Business Consulting;Bogotá D.C.;Bogotá AM;6;Si;No;Pagado;Pagaré;31;1
64439;30.000.000;0 a 100;1,57;47100000;12;0 a 12;710;Nuevo;2018-06;2018;Growth;Digital;Seed;6;1;2016;Education, Culture, Entertainament;Bogotá D.C.;Bogotá AM;4;No;No;Pagado;Pagaré;40;0
33649;40.000.000;0 a 100;1,56;62400000;18;13 a 24;710;Nuevo;2018-06;2018;KT - CO;Partnerships;Seed;14;7;2007;Commerce, Mechants, Retail;Medellín;Medellín AM;3;Si;Si;Pagado;Pagaré;63;1
